,Total,CSF-/PET-,CSF+/PET-,CSF-/PET+,CSF+/PET+,p_value
N,570,246,55,57,212,
Age (year),71.9 (7.0),70.8 (7.0),70.0 (7.2),72.8 (7.1),73.3 (6.6),< 0.001
BMI (kg/m^2),27.6 (4.8),28.3 (4.8),27.3 (4.9),27.4 (5.2),26.8 (4.5),0.0090
Sex,,,,,,
Female (n),266 (47%),119 (48%),17 (31%),37 (65%),93 (44%),0.0028
Male (n),304 (53%),127 (52%),38 (69%),20 (35%),119 (56%),
Cognitive Status,,,,,,
CN (n),205 (36%),115 (47%),22 (40%),21 (37%),47 (22%),< 0.001
MCI (n),365 (64%),131 (53%),33 (60%),36 (63%),165 (78%),
APOE-ε4 Carrier Status,,,,,,
No (n),331 (58%),197 (80%),34 (62%),37 (65%),63 (30%),< 0.001
Yes (n),239 (42%),49 (20%),21 (38%),20 (35%),149 (70%),
CSF Aβ42 (pg/mL),1104.6 (447.9),1513.4 (236.6),780.0 (157.7),1277.9 (249.6),667.9 (176.0),< 0.001
Amyloid PET (SUVR),1.2 (0.2),1.0 (0.1),1.0 (0.1),1.3 (0.2),1.4 (0.2),< 0.001
CSF pTau (ng/mL),25.0 (13.4),19.5 (6.7),15.4 (7.6),32.0 (15.9),32.1 (15.1),< 0.001
CSF pTau/Aβ42 (1),29.3 (24.9),13.0 (4.6),21.6 (14.2),26.5 (15.4),51.0 (27.2),< 0.001
CSF sTREM2 (pg/mL),3904.5 (2123.6),3907.7 (2066.8),2694.6 (1417.6),5075.4 (2222.2),3899.7 (2150.5),< 0.001
UPenn CSF Aβ42 (pg/mL),1200.7 (616.2),1714.3 (496.9),784.0 (156.8),1367.1 (452.7),668.0 (176.4),< 0.001
UPenn CSF Aβ40 (ng/mL),18623.8 (6181.5),20664.1 (4753.8),12411.0 (4198.2),25236.7 (5498.6),16131.1 (4710.2),< 0.001
UPenn CSF pTau (pg/mL),25.1 (13.4),19.4 (6.7),15.6 (7.6),31.9 (16.0),32.1 (15.0),< 0.001
UPenn CSF Aβ42/40 (e-6),73.2 (28.6),92.1 (19.5),69.9 (25.7),56.4 (29.0),41.9 (11.2),< 0.001
