,Total,CSF-/PET-,CSF+/PET-,CSF-/PET+,CSF+/PET+,p_value
N,570,277,24,47,222,
Age (year),71.9 (7.0),70.3 (7.0),74.2 (6.9),72.2 (6.4),73.4 (6.8),< 0.001
BMI (kg/m^2),27.6 (4.8),28.3 (4.9),26.4 (4.4),28.2 (5.4),26.7 (4.5),0.0011
Sex,,,,,,
Female (n),266 (47%),127 (46%),9 (38%),29 (62%),101 (45%),0.1527
Male (n),304 (53%),150 (54%),15 (62%),18 (38%),121 (55%),
Cognitive Status,,,,,,
CN (n),205 (36%),129 (47%),8 (33%),22 (47%),46 (21%),< 0.001
MCI (n),365 (64%),148 (53%),16 (67%),25 (53%),176 (79%),
APOE-ε4 Carrier Status,,,,,,
No (n),331 (58%),218 (79%),13 (54%),33 (70%),67 (30%),< 0.001
Yes (n),239 (42%),59 (21%),11 (46%),14 (30%),155 (70%),
CSF Aβ42 (pg/mL),1104.6 (447.9),1421.2 (329.9),897.4 (369.9),1169.4 (375.5),718.4 (236.5),< 0.001
Amyloid PET (SUVR),1.2 (0.2),1.0 (0.1),1.1 (0.1),1.2 (0.1),1.4 (0.2),< 0.001
CSF pTau (ng/mL),25.0 (13.4),17.8 (5.9),29.5 (10.1),18.9 (6.1),34.9 (15.1),< 0.001
CSF pTau/Aβ42 (1),29.3 (24.9),12.7 (3.4),35.9 (13.6),16.7 (4.1),52.0 (25.8),< 0.001
CSF sTREM2 (pg/mL),3904.5 (2123.6),3552.7 (1830.7),5225.3 (3192.5),4019.3 (2105.1),4176.3 (2240.7),< 0.001
